file,Essay Type,Country,Level,Temporal N,Temporal %,Contingency N,Contingency %,Comparison N,Comparison %,Expansion N,Expansion %,total lines
106i_AR_1_CHN_1_M_10287_PRD.txt.pipe,Jobs,6i_,_M_1,5,0.33,3,0.2,3,0.2,4,0.27,15
106i_AR_F_IND_1_M_11011_PRD.txt.pipe,Jobs,6i_,_M_1,7,0.24,7,0.24,1,0.03,14,0.48,29
106i_AR_1_CHN_1_M_10119_PRD.txt.pipe,Jobs,6i_,_M_1,3,0.25,2,0.17,1,0.08,6,0.5,12
105_AR_F_NAN_NA_NA_10562_NAU.txt.pipe,Jobs,5_A,_NA_,11,0.18,13,0.21,9,0.15,28,0.46,61
106i_AR_F_CHN_1_M_10885_PRD.txt.pipe,Jobs,6i_,_M_1,2,0.07,9,0.33,8,0.3,8,0.3,27
106i_AR_F_CHN_1_M_10529_PRD.txt.pipe,Jobs,6i_,_M_1,2,0.06,13,0.36,5,0.14,16,0.44,36
106i_AR_1_CHN_1_M_11168_PRD.txt.pipe,Jobs,6i_,_M_1,6,0.24,6,0.24,5,0.2,8,0.32,25
106i_AR_1_CHN_1_F_10087_PRD.txt.pipe,Jobs,6i_,_F_1,0,0.0,0,0.0,4,0.5,4,0.5,8
106i_AR_F_KOR_1_F_11082_PRD.txt.pipe,Jobs,6i_,_F_1,6,0.14,12,0.29,5,0.12,19,0.45,42
106i_AR_1_TKY_1_M_10069_PRD.txt.pipe,Jobs,6i_,_M_1,2,0.5,0,0.0,1,0.25,1,0.25,4
106i_AR_F_CHN_1_F_10826_PRD.txt.pipe,Jobs,6i_,_F_1,3,0.19,6,0.38,4,0.25,3,0.19,16
106i_AR_1_CHN_1_F_10469_PRD.txt.pipe,Jobs,6i_,_F_1,1,0.05,5,0.25,6,0.3,8,0.4,20
106i_AR_F_CHN_4_M_10065_PRD.txt.pipe,Jobs,6i_,_M_1,22,0.47,13,0.28,5,0.11,7,0.15,47
106i_AR_F_CHN_1_F_10783_PRD.txt.pipe,Jobs,6i_,_F_1,7,0.17,7,0.17,11,0.28,15,0.38,40
106i_AR_1_CHN_1_F_10502_PRD.txt.pipe,Jobs,6i_,_F_1,3,0.1,11,0.37,9,0.3,7,0.23,30
106i_AR_F_CHN_1_M_10082_PRD.txt.pipe,Jobs,6i_,_M_1,1,0.04,12,0.48,5,0.2,7,0.28,25
105_AR_F_USA_NA_NA_10676_NAU.txt.pipe,Jobs,5_A,_NA_,13,0.21,11,0.18,13,0.21,24,0.39,61
106i_AR_F_CHN_1_M_10876_PRD.txt.pipe,Jobs,6i_,_M_1,0,0,0,0,0,0,0,0,0
106i_AR_1_CHN_1_M_10126_PRD.txt.pipe,Jobs,6i_,_M_1,3,0.12,9,0.38,6,0.25,6,0.25,24
106i_AR_F_CHN_1_M_10140_PRD.txt.pipe,Jobs,6i_,_M_1,4,0.11,7,0.18,8,0.21,19,0.5,38
106i_AR_1_CHN_4_M_10956_PRD.txt.pipe,Jobs,6i_,_M_1,3,0.12,8,0.32,6,0.24,8,0.32,25
106i_AR_F_CHN_2_M_10968_PRD.txt.pipe,Jobs,6i_,_M_1,8,0.22,6,0.17,12,0.33,10,0.28,36
