file,Essay Type,Country,Level,Elaboration N,Elaboration %,Same-Unit N,Same-Unit %,Attribution N,Attribution %,Joint N,Joint %,Enablement N,Enablement %,Background N,Background %,Comparison N,Comparison %,Contrast N,Contrast %,Manner-Means N,Manner-Means %,Temporal N,Temporal %,Condition N,Condition %,Summary N,Summary %,Cause N,Cause %,Topic-Comment N,Topic-Comment %,Evaluation N,Evaluation %,Explanation N,Explanation %,Textual-Organization N,Textual-Organization %,Topic-Change N,Topic-Change %,Comparison N,Comparison %,total lines
W_PHL_SMK0_057_B1_2.txt.json.edus.parse,Smoking,PHL,B1_2,12,0.46,4,0.15,1,0.04,2,0.08,1,0.04,1,0.04,0,0.0,0,0.0,0,0.0,1,0.04,4,0.15,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,26
W_TWN_SMK0_134_B1_2.txt.json.edus.parse,Smoking,TWN,B1_2,8,0.24,8,0.24,5,0.15,2,0.06,3,0.09,0,0.0,0,0.0,3,0.09,0,0.0,0,0.0,4,0.12,0,0.0,0,0.0,0,0.0,0,0.0,1,0.03,0,0.0,0,0.0,0,0.0,34
W_SIN_SMK0_128_B2_0.txt.json.edus.parse,Smoking,SIN,B2_0,14,0.41,9,0.26,1,0.03,4,0.12,1,0.03,2,0.06,0,0.0,0,0.0,2,0.06,0,0.0,0,0.0,0,0.0,1,0.03,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,34
W_PHL_PTJ0_143_B1_2.txt.json.edus.parse,Jobs,PHL,B1_2,19,0.53,9,0.25,2,0.06,1,0.03,0,0.0,0,0.0,0,0.0,1,0.03,0,0.0,1,0.03,1,0.03,0,0.0,1,0.03,0,0.0,0,0.0,1,0.03,0,0.0,0,0.0,0,0.0,36
W_CHN_PTJ0_241_B1_2.txt.json.edus.parse,Jobs,CHN,B1_2,11,0.31,8,0.23,6,0.17,3,0.09,4,0.11,0,0.0,0,0.0,0,0.0,0,0.0,1,0.03,2,0.06,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,35
W_CHN_PTJ0_216_A2_0.txt.json.edus.parse,Jobs,CHN,A2_0,7,0.25,7,0.25,6,0.21,5,0.18,1,0.04,1,0.04,0,0.0,1,0.04,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28
W_PHL_SMK0_030_B1_2.txt.json.edus.parse,Smoking,PHL,B1_2,7,0.28,2,0.08,5,0.2,5,0.2,1,0.04,0,0.0,0,0.0,2,0.08,0,0.0,1,0.04,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.08,0,0.0,0,0.0,0,0.0,25
W_SIN_PTJ0_127_B1_2.txt.json.edus.parse,Jobs,SIN,B1_2,8,0.33,6,0.25,1,0.04,2,0.08,3,0.12,1,0.04,0,0.0,0,0.0,0,0.0,0,0.0,1,0.04,0,0.0,1,0.04,0,0.0,0,0.0,1,0.04,0,0.0,0,0.0,0,0.0,24
W_CHN_SMK0_309_B1_2.txt.json.edus.parse,Smoking,CHN,B1_2,13,0.27,9,0.19,7,0.15,3,0.06,3,0.06,1,0.02,0,0.0,4,0.08,0,0.0,1,0.02,5,0.1,0,0.0,0,0.0,0,0.0,0,0.0,2,0.04,0,0.0,0,0.0,0,0.0,48
W_TWN_PTJ0_189_B1_1.txt.json.edus.parse,Jobs,TWN,B1_1,7,0.23,3,0.1,8,0.26,4,0.13,1,0.03,1,0.03,0,0.0,4,0.13,0,0.0,1,0.03,2,0.06,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,31
W_TWN_PTJ0_067_A2_0.txt.json.edus.parse,Jobs,TWN,A2_0,10,0.28,6,0.17,8,0.22,2,0.06,4,0.11,1,0.03,0,0.0,1,0.03,0,0.0,0,0.0,2,0.06,0,0.0,0,0.0,0,0.0,0,0.0,2,0.06,0,0.0,0,0.0,0,0.0,36
W_IDN_SMK0_155_B1_2.txt.json.edus.parse,Smoking,IDN,B1_2,11,0.31,2,0.06,3,0.09,5,0.14,3,0.09,0,0.0,0,0.0,7,0.2,1,0.03,0,0.0,1,0.03,0,0.0,0,0.0,0,0.0,0,0.0,2,0.06,0,0.0,0,0.0,0,0.0,35
W_THA_SMK0_263_B1_2.txt.json.edus.parse,Smoking,THA,B1_2,9,0.3,6,0.2,4,0.13,3,0.1,2,0.07,1,0.03,0,0.0,0,0.0,0,0.0,1,0.03,2,0.07,0,0.0,0,0.0,0,0.0,0,0.0,2,0.07,0,0.0,0,0.0,0,0.0,30
W_KOR_SMK0_207_B2_0.txt.json.edus.parse,Smoking,KOR,B2_0,4,0.21,4,0.21,4,0.21,3,0.16,3,0.16,1,0.05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,19
W_KOR_PTJ0_255_B2_0.txt.json.edus.parse,Jobs,KOR,B2_0,12,0.43,5,0.18,3,0.11,3,0.11,0,0.0,0,0.0,0,0.0,2,0.07,0,0.0,0,0.0,2,0.07,0,0.0,1,0.04,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28
W_HKG_SMK0_012_B1_2.txt.json.edus.parse,Smoking,HKG,B1_2,6,0.21,4,0.14,5,0.18,4,0.14,2,0.07,2,0.07,0,0.0,0,0.0,0,0.0,0,0.0,4,0.14,0,0.0,0,0.0,0,0.0,0,0.0,1,0.04,0,0.0,0,0.0,0,0.0,28
W_KOR_PTJ0_053_A2_0.txt.json.edus.parse,Jobs,KOR,A2_0,7,0.19,9,0.24,5,0.14,5,0.14,1,0.03,2,0.05,0,0.0,0,0.0,0,0.0,0,0.0,6,0.16,0,0.0,0,0.0,0,0.0,0,0.0,2,0.05,0,0.0,0,0.0,0,0.0,37
W_CHN_SMK0_127_B1_1.txt.json.edus.parse,Smoking,CHN,B1_1,15,0.47,7,0.22,3,0.09,2,0.06,1,0.03,0,0.0,0,0.0,2,0.06,0,0.0,0,0.0,2,0.06,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,32
W_THA_PTJ0_004_B1_2.txt.json.edus.parse,Jobs,THA,B1_2,12,0.4,8,0.27,1,0.03,3,0.1,2,0.07,1,0.03,0,0.0,1,0.03,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.07,0,0.0,0,0.0,0,0.0,30
W_CHN_SMK0_194_B1_1.txt.json.edus.parse,Smoking,CHN,B1_1,10,0.29,8,0.23,5,0.14,2,0.06,4,0.11,2,0.06,0,0.0,1,0.03,0,0.0,1,0.03,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.06,0,0.0,0,0.0,0,0.0,35
W_CHN_PTJ0_307_B1_1.txt.json.edus.parse,Jobs,CHN,B1_1,8,0.31,4,0.15,2,0.08,1,0.04,4,0.15,2,0.08,0,0.0,4,0.15,0,0.0,1,0.04,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,26
W_IDN_PTJ0_173_B1_2.txt.json.edus.parse,Jobs,IDN,B1_2,8,0.22,6,0.16,7,0.19,8,0.22,3,0.08,0,0.0,0,0.0,1,0.03,0,0.0,1,0.03,1,0.03,0,0.0,2,0.05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,37
W_TWN_SMK0_090_B1_1.txt.json.edus.parse,Smoking,TWN,B1_1,8,0.23,1,0.03,16,0.46,2,0.06,2,0.06,3,0.09,0,0.0,1,0.03,0,0.0,0,0.0,2,0.06,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,35
